Subject,Count
congresses,3079
computer science,2998
data processing,1405
artificial intelligence (incl. robotics),1238
engineering,1071
expert systems (computer science),1052
information storage and retrieval systems,931
fiction,846
computer software,799
data mining,793
computer vision,755
software engineering,744
computer networks,742
computational intelligence,699
intelligence artificielle,673
robotics,662
neural networks (computer science),650
information systems,631
database management,624
computers,551
optical pattern recognition,531
intelligent agents (computer software),521
computer simulation,517
machine learning,476
general,426
information systems applications (incl. internet),398
information retrieval,391
robots,375
electronic data processing,362
mathematics,350
human-computer interaction,335
science fiction,322
information organization,316
philosophy,313
computer graphics,310
engineering mathematics,309
image processing,306
logic,306
automation,288
algorithm analysis and problem complexity,274
logic design,269
information technology,269
computer communication networks,265
mathematical models,261
pattern perception,260
science,257
computational linguistics,254
intelligent control systems,253
cognitive science,250
social aspects,247
soft computing,243
natural language processing (computer science),240
cognition,235
decision making,232
reasoning,227
informatique,223
symbolic and mathematical logic,223
data mining and knowledge discovery,216
technology,195
technological innovations,195
management information systems,194
multimedia systems,191
bioinformatics,189
information theory,188
user interfaces and human computer interaction,185
künstliche intelligenz,181
image processing and computer vision,178
computational complexity,175
kunstmatige intelligentie,164
education,163
industrial applications,154
world wide web,154
computation by abstract devices,153
symbolic and mathematical,151
user interfaces (computer systems),148
congrès,146
automatic control,145
mathematical logic and formal languages,145
pattern recognition systems,143
knowledge representation (information theory),140
digital techniques,138
programming,134
operations research,130
computer-assisted instruction,129
algorithms,128
economics,125
computer algorithms,125
data structures (computer science),124
development,123
fuzzy systems,121
methodology,121
translators (computer programs),119
research,118
medicine,118
programming languages (electronic computers),116
distributed processing,116
law,116
semantic web,115
psychology,115
medical informatics,115
physics,113
logic programming,112
uncertainty (information theory),111
medical applications,111
fuzzy logic,110
computer programming,109
automatic theorem proving,108
mathematical optimization,108
computer games,108
management,103
neural computers,103
computer-aided design,103
brain,102
social sciences,101
semantics,101
computer engineering,100
evolutionary computation,99
vision,98
intelligence (ai) & semantics,98
computer programs,98
problem solving,97
virtual reality,97
linguistics,96
internet,94
simulation and modeling,94
evolutionary programming (computer science),94
logics and meanings of programs,92
juvenile literature,92
algebra,91
cybernetics,91
