Title,Author,Publish Year,Publisher,Language
The Lord of the Rings,J.R.R. Tolkien,1954,"Houghton Mifflin Harcourt Publishing Company, William Morrow Paperbacks, Metis Yayıncılık, European Schoolbooks, Book Club Associates, BBD Audio Publishing, Zondervan, HarperCollins Publishers, Brand: Mariner Books, Mariner Books, Slovart, Houghton Mifflin Harcourt Trade & Reference Publishers, Hör Verlag, München, Azbuka Klassika, French and European Publications Inc, Planeta Publishing, HarperCollins, George Allen & Unwin Ltd., Brand: Recorded Books, Houghton Mifflin, Kont͡sern ""Olimp"", Soundelux Audio Publishing, Unieboek | Het Spectrum, Allenand Unwin, Highbridge Audio, Klett-Cotta Verlag, Unwin Paperbacks, SP Interprint, ""Terra"", HARPERCOLLINS PUBLISHERS, Booket, POCKET, BBC Audiobooks, Caedmon, Klett-Cotta, MINOTAURO, Book Club Association, George Allen and Unwin, France Loisirs, GALLIMARD JEUNE, Brand: HighBridge Company, Turtleback Books Distributed by Demco Media, Warszawskie Wydawnictwo Literackie Muza, Ballantine Books, Unwin Hyman, Guild Publishing, Harper Collins Publishers  Stock Account, BBC Books, Presse Pocket, Harper Collins, Ballantine, Harpercollins, Hobbit press Klett Cotta, Harpercollins Pub Ltd, Pocket, RUSCONI, Hyoronsha, HMH Books for Young Readers, der Hörverlag, Recorded Books, Rusconi, HarperCollins Canada, Limited, Minotauro Ediciones Avd, Bompiani, Circulo de Lectores, Het Spectrum, Grafton, Methuen, Siat Publishing Company, MUZA, WSOY, Easton Press, Allen & Unwin, Guild, HighBridge Audio, ""Kniga"", Editions France Loisirs, Recorded Books Unabridged, George Allen & Unwin, Soundelux Audio Pub, Allen and Unwin, BTFDREEM, Norstedt, HarperCollins Publishers Ltd, Random House Audio, Minotauro, n/a, Der Hörverlag, Bard, Gallimard, Sushi Books, Houghton Mifflin Co., Houghton Mifflin Company, Editorial Vicens Vives, Highbridge Company, J.G. Cotta'sche, Buchhandlung Nachfolger GmbH, Spectrum, William Morrow, Mladá fronta, HarperCollins Publishers Limited, AST, Brand: Soundelux Audio Pub, Recorded Books, Inc., ""Azbuka"", Christian Bourgois, Listening Library, French & European Pubns, Hyōronsha, Houghton Mifflin Harcourt, Azbuka, Terra-Knizhnyy klub, harpercollins, Fabbri, Folio Society","spa, bul, tur, jpn, rus, ita, swe, pol, dut, por, kor, cat, fre, cze, glg, slo, ger, eng"
Novels (Hobbit / Lord of the Rings),J.R.R. Tolkien,1979,"Highbridge Audio, Mariner Books, HarperCollins Publishers Limited, HarperCollins Publishers Ltd, Unwin Paperbacks, Harper Collins, Del Rey Fantasy, HarperCollins, Houghton Mifflin, Harpercollins, Del Rey, Harper Collins Publ. UK, HarperCollins Publishers, Ballantine Books (Mm), Azbuka-klassika, Harpercollins Pub Ltd, Houghton Mifflin Harcourt, Collins, Del Rey Books","eng, rus"
Lord of the Rings,Cedco Publishing,2001,Cedco Publishing Company,eng
The lord of the rings,Brian Sibley,2001,"Mariner Books, Houghton Mifflin Company, Tandem Library, Houghton Mifflin",eng
The Lord of the rings location guidebook,Ian Brodie,2002,"HarperCollins Publishers Ltd, HarperCollins, HarperCollins (New Zealand), Zondervan",eng
Lord of the Rings,Betsy Gallup,2006,"Lightning Rod, a Division of Windstorm Creative",eng
The Lord of the Rings,Patrick Gardner,2002,SparkNotes,eng
Lord of the Rings Arwen Journal,n/a,2001,Cedco Publishing Company,eng
Lord of the Rings,Carla Fritsch,2004,Center for Learning,eng
"The Art of the ""Lord of the Rings"" Trilogy (""Lord of the Rings"")",Gary Russell,2004,HarperCollins Publishers Ltd,N/A
The lord of the rings,"Wayne G. Hammond, Christina Scull",2005,"Houghton Mifflin, HarperCollins Publishers Ltd., Houghton Mifflin Co., HarperCollins",eng
J. R. R. Tolkien's The Lord of the Rings,"Harold Bloom, Harold Bloom",2000,"Chelsea House, Chelsea House Publications, Chelsea House Publishers",eng
The Lord of the Rings - The Two Towers,"Alessio Cavatore, Rick Priestley",2003,Games Workshop,N/A
