Title,Author(s),Publish Year,Subjects
Ender's Game,Orson Scott Card,1985,"New York Times bestseller, nyt:mass_market_paperback=2011-07-30, military education, end of the world, prize:nebula, hegemony, space warfare, child soldiers, The Ender Quintet, science fiction, automation, data processing, aliens, Military art and science, Hermanos, Maniobras de guerra, Brothers and sisters, Open Library Staff Picks, Genetic engineering, Fiction, Hugo Award Winner, award:hugo_award=novel, Ficción, Ciencia-ficción, award:hugo_award=1986, War games, Long Now Manual for Civilization, American Science fiction, Children's stories, American, Artificial intelligence, Ender Wiggin (Fictitious character), Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Wiggin, ender (fictitious character), fiction, Battle school (imaginary place), fiction, Fiction, science fiction, hard science fiction, Brothers and sisters, fiction, Science-Fiction-Literatur, Krieg, Amerikanisches Englisch, Außerirdische Intelligenz, award:nebula_award=novel, Peter Wiggin (Fictitious character), Siblings, fiction, Military education, End of the world, Prize:nebula, Hegemony, Space warfare, Child soldiers, The ender quintet, Science fiction, Automation, Data processing, Aliens, Nyt:mass_market_paperback=2011-07-30, Open library staff picks, Hugo award winner, Award:hugo_award=novel, Award:hugo_award=1986, New york times bestseller, Long now manual for civilization, American science fiction, Children's stories, american, Ender wiggin (fictitious character), Reading level-grade 7, Reading level-grade 9, Reading level-grade 8, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12"
"I, Robot",Isaac Asimov,1950,"smear campaigns, supercomputers, computers, Frankenstein complex, hyperspace, heisenbugs, asteroids, Shahada, space stations, space-based solar power, cognitive dissonance, selenium, robots, morality, robotics, robopsychology, positronic brains, three laws of robotics, ethics of artificial intelligence, American Science fiction, Readers (Secondary), Readers, Fiction, Science fiction, human-robot relations, Thriller, Long Now Manual for Civilization, Science fiction, American, Short stories, American Short stories, Artificial intelligence, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, science fiction, short stories, Roman, Fiction, science fiction, collections & anthologies, American literature, Robots in fiction, Children's fiction, High tech and hard science fiction"
Prey,Michael Crichton,2002,"programmers, nanorobotics, reproduction, evolution, predation, grey goo, isotopes, thermite, symbiosis, phange, E. coli, methane, imaging technology, human test subject research, cautionary tale, technology, nanotechnology, genetic engineering, distributed artificial intelligence, population dynamics, host-parasite coevolution, emergence, complexity, genetic algorithms, agent-based computing, Molecular biologists, Vida artificial, Biología molecular, Science fiction, Ciencia-ficción, Fiction, Novela, Artificial intelligence, Biología molecular, Nevada in fiction, Nanotechnology in fiction, Molecular biologists in fiction, Open Library Staff Picks, Artificial intelligence in fiction, Artificial life in fiction, Suspense fiction, Roboter, Biotechnologie, Bedrohung, Menschheit, Nanotechnologie, Artificial life, Biólogos, Ciencia-ficción, Fiction, science fiction, hard science fiction, Nevada, fiction, Large type books, Fiction, thrillers, Fiction, thrillers, general, Littérature américaine, Roman, Roman policier américain, nyt:combined-print-and-e-book-fiction=2015-04-05, New York Times bestseller, New York Times reviewed, Nanobiotechnologie, Belletristische Darstellung, Molecular biologists--fiction, Artificial life--fiction, Ps3553.r48 p74 2002, 813/.54"
The moon is a harsh mistress,Robert A. Heinlein,1965,"Fiction, science fiction, general, Stone, hazel (fictitious character), fiction, American Science fiction, Fiction, Hugo Award Winner, Imaginary wars and battles, award:hugo_award=1967, award:hugo_award=novel, Penal colonies, Revolutions, Artificial intelligence"
The Waste Lands,Stephen King,1991,"thrillers, supernatural, dark fantasy, riddles, monorails, artificial intelligence, Velcro Fly, paradoxes, ka-tet, cyborgs, Fiction, Fantasy fiction, Long Now Manual for Civilization, Fantasy, Dark Tower Series, Roland (Fictitious character : King), Fiction, fantasy, epic, Dark tower (imaginary place), fiction, Roland (fictitious character : king), fiction, American literature, Roland of Gilead (Fictitious character), Fantastic fiction, Fiction, fantasy, general, Time travel, Magic, Voyages dans le temps, Romans, nouvelles, Chang pian xiao shuo"
Computational Linguistics and Intelligent Text Processing,Alexander Gelbukh,2003,"Data Mining and Knowledge Discovery, Database management, Information storage and retrieval systems, Information organization, Computer science, Information retrieval, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Data mining, Artificial intelligence, Computational linguistics, Natural language processing (computer science), Text processing (computer science), Computational intelligence, Discourse analysis, Comparative linguistics"
Artificial intelligence,"Stuart J. Russell, Peter Norvig, Stuart RUSSELL, Stuart Russell, [ MEI ] NUO WEI GE ( Peter Norvig ) [ MEI ] LUO SU ( Stuart J.Russell ) ",1994,"Artificial intelligence, problem solving, constraint satisfaction, knowledge, reasoning, planning, uncertainty, learning, Компьютеры, Кибернетика: Искусственный интеллект, Computers, Cybernetics: Artificial Intelligence, Künstliche Intelligenz, 0 Gesamtdarstellung, Study and teaching, Handbooks, manuals, Intelligence artificielle, Étude et enseignement, Guides, manuels, Kunstmatige intelligentie, Raisonnement (Informatique), Résolution de problème, Apprentissage automatique, Agent intelligent, Thought and thinking, Pensée, Thinking, Sztuczna inteligencja, Logique symbolique et mathématique, Algorithmes, Resolution de probleme, Q335 .r86 1995, 006.3, Q335 .r86 2010, Q335 .r86 2003"
Intelligent Robotics and Applications,Honghai Liu,2010,"Computer vision, Information systems, Computer science, Optical pattern recognition, Computer networks, Computer graphics, Artificial intelligence, Control systems, Robótica, Robotics, Congresos, Robots, Inteligencia artificial, Motion, Congresses, Intelligent control systems"
Artificial Intelligence and Soft Computing,Leszek Rutkowski,2012,"Computer Imaging, Vision, Pattern Recognition and Graphics, Database management, Information storage and retrieval systems, Information organization, Information retrieval, Computer vision, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Computation by Abstract Devices, Artificial intelligence, Computer science, Soft computing"
Artificial Intelligence Applications and Innovations,"Lazaros S. Iliadis, Ilias Maglogiannis, Harris Papadopoulos",2006,"Artificial intelligence, Technological innovations, Expert systems (computer science), Intelligent control systems"
